1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
600．（2014•长春）-17的相反数是（　　）A．17B．-17C．7 D．-7难度：0.92真题：52组卷：58
601．（2014•广州）a（a≠0）的相反数是（　　）A．-a B．a2 C．|a| D．1a难度：0.90真题：52组卷：318
602．（2014•抚州）-7的相反数是（　　）A．-7 B．-17C．17D．7难度：0.97真题：51组卷：71
603．（2014•铜仁地区）34的相反数是（　　）A．34B．43C．-43D．-34难度：0.86真题：51组卷：61
604．（2014•淮安）-5的相反数为（　　）A．-15B．5 C．15D．-5难度：0.94真题：50组卷：61
605．（2014•岳麓区校级自主招生）下列各组数中，与-2014互为相反数的是（　　）A．12014B．2014 C．-12014D．-2014难度：0.60真题：1组卷：7
606．（2014•博山区校级模拟）-6的相反数等于（　　）A．-6 B．16C．−16D．6难度：0.88真题：11组卷：13
607．（2014•河北模拟）|-5|的相反数是（　　）A．5 B．-5 C．-15D．15难度：0.88真题：8组卷：38
608．（2014•房山区二模）−12的相反数等于（　　）A．12B．2 C．−12D．-2难度：0.92真题：7组卷：24
609．（2014•鞍山一模）如果3是a-3的相反数，那么a的值是（　　）A．0 B．3 C．6 D．-6难度：0.90真题：7组卷：162
610．（2014•安阳校级模拟）-（-6 ）的相反数是（　　）A．-6 B．6 C．-16D．16难度：0.89真题：7组卷：50
611．（2014•日照一模）|-12014|的相反数是（　　）A．2014 B．-2014 C．12014D．-12014难度：0.86真题：6组卷：90
612．（2014•昆山市模拟）若a的相反数是23，则a等于（　　）A．32B．-23C．-32D．23难度：0.95真题：5组卷：21
613．（2014•相城区一模）如果a与2的和为0，那么a是（　　）A．2 B．12C．-12D．-2难度：0.88真题：5组卷：58
614．（2014•江阴市模拟）3的相反数是（　　）A．-3 B．3 C．±3 D．9难度：0.92真题：4组卷：26
615．（2014•襄阳区校级模拟）-|-5|的相反数是（　　）A．-15B．15C．5 D．-5难度：0.82真题：4组卷：47
616．（2014•南宁校级一模）-18的相反数是（　　）A．-8 B．18C．0.8 D．8难度：0.80真题：4组卷：8
617．（2014•无锡模拟）−12的倒数的相反数是（　　）A．12B．−12C．2 D．-2难度：0.80真题：4组卷：26
618．（2014•河东区一模）-2的相反数是（　　）A．2 B．-|-2| C．12D．-12难度：0.88真题：3组卷：20
619．（2014•甘州区校级模拟）下列各数中，5的相反数是（　　）A．-5 B．5 C．-15D．15难度：0.88真题：3组卷：6
620．（2014•惠安县二模）14的相反数是（　　）A．4 B．-4 C．-14D．14难度：0.86真题：3组卷：19
621．（2014•碑林区校级模拟）-35的相反数（　　）A．35B．53C．-35D．-53难度：0.84真题：3组卷：8
622．（2014•广东模拟）自然数3的相反数是（　　）A．-3 B．3 C．−13D．13难度：0.80真题：3组卷：15
623．（2014•北仑区模拟）-2014的相反数是（　　）A．2014 B．12014C．-12014D．-2014难度：0.80真题：3组卷：15
624．（2014•东台市一模）12的相反数为（　　）A．2 B．-12C．12D．-2难度：0.80真题：3组卷：16
625．（2014•枣阳市模拟）（-2）3的相反数是（　　）A．-6 B．8 C．-8 D．6难度：0.77真题：3组卷：185
626．（2014•峨眉山市二模）4的相反数是（　　）A．±2 B．-4 C．2 D．14难度：0.95真题：2组卷：7
627．（2014•宜城市模拟）-|-2|等于（　　）A．-2 B．2 C．±2 D．±12难度：0.95真题：2组卷：22
628．（2014•温州一模）-2的相反数是（　　）A．1+2B．1-2C．2 D．-2难度：0.93真题：2组卷：8
629．（2014•福田区模拟）若一个数的相反数是2，则这个数是（　　）A．2 B．-2 C．12D．-12难度：0.92真题：2组卷：18
630．（2014•平房区一模）45的相反数是（　　）A．45B．−54C．54D．−45难度：0.84真题：2组卷：16
631．（2014•宜昌模拟）若x与2互为相反数，则x的值是（　　）A．-2 B．2 C．-12D．12难度：0.93真题：1组卷：26
632．（2014•尤溪县质检）-6是6的（　　）A．相反数 B．倒数 C．绝对值 D．平方根难度：0.92真题：1组卷：15
633．（2014•新泰市校级模拟）下列各数中，相反数是-2的是（　　）A．|-2| B．-|-2| C．12D．-12难度：0.92真题：1组卷：16
634．（2014•襄城区模拟）在12，2，4，-2这四个数中，互为相反数的是（　　）A．12与2 B．2与-2 C．-2与12D．-2与4难度：0.91真题：1组卷：45
635．（2014•郴州一模）12014的相反数等于（　　）A．2014 B．-2014 C．-12014D．12014难度：0.90真题：1组卷：18
636．（2014•重庆模拟）-2014是2014的（　　）A．绝对值 B．-1次幂 C．倒数 D．相反数难度：0.90真题：1组卷：25
637．（2014•新泰市模拟）|-4|的相反数是（　　）A．4 B．-4 C．14D．4-14难度：0.89真题：1组卷：14
638．（2014•白云区一模）与-12互为相反数的是（　　）A．-0.5 B．12C．2 D．21难度：0.86真题：1组卷：25
639．（2014•长沙一模）下列各组数中，互为相反数的是（　　）A．-2与2 B．2与2 C．3与13D．3与|-3|难度：0.86真题：1组卷：50
640．（2014•广陵区校级二模）3的相反数等于（　　）A．13B．3 C．-3 D．±3难度：0.82真题：1组卷：21
641．（2014•余姚市校级模拟）如果-4的相反数是a，则a的值是（　　）A．14B．4 C．-14D．-4难度：0.82真题：1组卷：12
642．（2014•清河区二模）相反数为3的数是（　　）A．-3 B．3 C．9 D．13难度：0.80真题：1组卷：6
643．（2014•濮阳校级模拟）|-5|的相反数是（　　）A．-5 B．5 C．-0.2 D．0.2难度：0.80真题：1组卷：6
644．（2014•铁岭模拟）相反数是3的数是（　　）A．-13B．13C．3 D．-3难度：0.80真题：1组卷：10
645．（2014•东阳市校级模拟）-1是1的（　　）A．相反数 B．倒数 C．绝对值 D．算术平方根难度：0.80真题：1组卷：10
646．（2014•鄂托克旗校级一模）在3，-3，8，6这四个数中，互为相反数的是（　　）A．-3与3 B．3与8 C．-3与6 D．6与8难度：0.77真题：1组卷：10
647．（2014•江西模拟）已知b≠0，且a与b互为相反数，下列各式不一定成立的是（　　）A．ab=-1 B．|a|=-b C．ab=-a2 D．a+b=0难度：0.71真题：1组卷：394
648．（2014•河北模拟）下列各组数中，互为相反数的是（　　）A．3和-3 B．3和-13C．-3和13D．3和13难度：0.60真题：1组卷：4
649．（2014•大连二模）与-54互为相反数的是（　　）A．-45B．-54C．54D．45难度：0.60真题：1组卷：0
650．（2014•咸阳模拟）如果x与y互为相反数，那么下列各组数中不一定互为相反数的是（　　）A．-x与-y B．2x与2y C．x2与y2 D．x32与y32难度：0.81真题：2组卷：69
651．（2013秋•定州市期末）如图，在数轴上表示互为相反数的两数的点是（　　）A．点A和点C B．点B和点C C．点A和点B D．点B和点D难度：0.94真题：13组卷：40
652．（2014秋•成县期末）下列各组中互为相反数的是（　　）A．-2与−12B．|-2|和2 C．-2.5与|-2| D．−12与|−12|难度：0.92真题：13组卷：44
653．（2014秋•华蓥市校级期末）已知p与q互为相反数，且p≠0，那么下列关系式正确的是（　　）A．p•q=1 B．qp＝1 C．p+q=0 D．p-q=0难度：0.81真题：12组卷：22
654．（2013秋•常熟市校级期末）下列各对数中互为相反数的是（　　）A．-（+3）和+（-3） B．-（-3）和+（-3） C．-（+3）和-3 D．+（-3）和-3难度：0.85真题：11组卷：60
655．（2014秋•朝阳区期末）下列说法错误的是（　　）A．若a、b互为相反数，则a+b=0B．若a＜0，b＜0，则|a+b|=-（a+b）C．若a＜0，b＞0，则ab=-|ab|D．若a为有理数，则|a|＞a难度：0.73真题：8组卷：415
656．（2013秋•宜春期末）若m，n互为相反数，则下列结论不正确的是（　　）A．m+n=0 B．m=-n C．|m|=|n| D．mn＝−1难度：0.66真题：5组卷：388
657．（2014秋•商丘期末）下列说法中，正确的是（　　）A．任何数都不等于它的相反数B．互为相反数的两个数的立方相等C．如果a大于b，那么a的倒数一定大于b的倒数D．a与b两数和的平方一定是非负数难度：0.73真题：4组卷：25
658．（2014秋•端州区期末）若实数a、b互为相反数，则下列等式中成立的是（　　）A．a-b=0 B．a+b=0 C．ab=1 D．ab=-1难度：0.73真题：4组卷：29
659．（2014秋•郑州期末）a-b+c的相反数是（　　）A．-a+b-c B．a+b-c C．-a-b+c D．-a-b-c难度：0.82真题：3组卷：149
660．（2014秋•湖州期末）-2014的相反数是（　　）A．-12014B．12014C．2014 D．-2014难度：0.82真题：3组卷：13
661．（2014秋•诸暨市期末）-7的相反数是（　　）A．7 B．-17C．17D．-7难度：0.80真题：3组卷：51
662．（2014秋•恩施市期末）已知a与b互为相反数，且b≠0，下列各式不成立的是（　　）A．a+b=0 B．a2=b2 C．|a|=-|b| D．ab=-1难度：0.96真题：2组卷：38
663．（2014秋•太仓市校级期末）-0.5的相反数是（　　）A．2 B．-2 C．-0.5 D．0.5难度：0.82真题：2组卷：13
664．（2013秋•历下区期末）下列说法中正确的是（　　）A．23和32互为相反数 B．18和-0.125互为相反数C．-3是相反数 D．O没有相反数难度：0.82真题：2组卷：97
665．（2014秋•沧州期末）-13的相反数是（　　）A．-3 B．3 C．23D．13难度：0.80真题：2组卷：8
666．（2013秋•岑溪市期末）下列各对数中，互为相反数的是（　　）A．-1.01和1.1 B．32和23C．-1.125和18D．-0.125和18难度：0.73真题：2组卷：77
667．（2013秋•龙马潭区期末）两个数a、b互为相反数，下列结论不正确的是（　　）A．|a|=|b| B．a=b=0 C．a+b=0 D．a2+ab=0难度：0.71真题：2组卷：54
668．（2014秋•农安县校级期末）下列语句：①-5是相反数；②-5与+3互为相反数；③-5是5的相反数；④-3和+3互为相反数；⑤0的相反数是0中，正确的是（　　）A．①② B．②③⑤ C．①④⑤ D．③④⑤难度：0.71真题：2组卷：175
669．（2014秋•渝北区期末）有理数3的相反数是（　　）A．-3 B．-13C．3 D．13难度：0.60真题：2组卷：3
670．（2014秋•海门市期末）下列各数中，-3的相反数是（　　）A．3 B．13C．9 D．-3难度：0.99真题：1组卷：25
671．（2014秋•蚌埠期末）下列各组数中互为相反数的是（　　）A．+（+5）与-（-5） B．+（-5）与-（+5） C．+（+5）与-（-15） D．+（-5）与-（-5）难度：0.98真题：1组卷：51
672．（2013秋•涉县期末）如果a与-13互为相反数，那么a等于（　　）A．3 B．-3 C．13D．-13难度：0.90真题：1组卷：16
673．（2013秋•顺义区期末）23的相反数是（　　）A．32B．-32C．-23D．23难度：0.85真题：1组卷：8
674．（2014秋•张家港市期末）23的相反数是（　　）A．23B．-23C．32D．-32难度：0.82真题：1组卷：8
675．（2014秋•大姚县校级期末）下列四组数中，不相等的是（　　）A．-（+2）与+（-2） B．+（-7）与-7 C．+（-1）与-（-1） D．-（-3）与|-3|难度：0.82真题：1组卷：20
676．（2014秋•莒县期末）-2015的相反数是（　　）A．-12015B．12015C．5102 D．2015难度：0.80真题：1组卷：17
677．（2014秋•肥西县期末）-0.8的相反数是（　　）A．0.8 B．±0.8 C．-0.8 D．18难度：0.80真题：1组卷：10
678．（2014秋•蒙阴县期末）-2014的相反数是（　　）A．−12014B．12014C．-2014 D．2014难度：0.80真题：1组卷：0
679．（2014秋•定安县期末）5的相反数是（　　）A．5 B．-5 C．±5 D．不能确定难度：0.80真题：1组卷：7
680．（2014秋•安庆期末）若4+□=0，则□可以等于（　　）A．-14B．-4 C．-（-4） D．|-4|难度：0.80真题：1组卷：24
681．（2014春•琼海期末）-2+3的相反数是（　　）A．-5 B．-1 C．1 D．5难度：0.80真题：1组卷：8
682．（2014春•范县期末）如果a的相反数是-3，那么a的值是（　　）A．-3 B．3或-3 C．3 D．0难度：0.80真题：1组卷：9
683．（2014秋•北流市期末）如果a的相反数是6，那么a等于（　　）A．6 B．16C．-16D．-6难度：0.80真题：1组卷：9
684．（2014秋•安陆市期末）一个数的倒数的相反数是6，则这个数是（　　）A．16B．-6 C．6 D．-16难度：0.80真题：1组卷：44
685．（2014秋•巩留县校级期末）下面两个数互为相反数的是（　　）A．−14和0.4 B．0.2和-（+2）C．-1.25和+114D．203和-6.67难度：0.80真题：1组卷：11
686．（2014秋•南岸区期末）下列各组数中互为相反数的是（　　）A．（-2）3与-23 B．2与12C．-1与（-1）2 D．2与|-2|难度：0.80真题：1组卷：15
687．（2013秋•巴彦淖尔期末）若一个数倒数的相反数是-3，则这个数是（　　）A．3 B．-3 C．13D．-13难度：0.78真题：1组卷：263
688．（2013秋•崇安区校级期末）-（-3）的值是（　　）A．-3 B．3 C．±3 D．9难度：0.75真题：1组卷：186
689．（2014秋•汇川区校级期末）下列判断正确的是（　　）A．-a不一定是负数 B．|a|是一个正数C．若|a|=a，则a＞0 D．若|a|=-a，则a＜0难度：0.73真题：1组卷：18
690．（2014秋•新泰市校级期末）下面几组数中，不相等的是（　　）A．-7和-（-7） B．-3和+（-3） C．-1和-4-（-3） D．+2和|-2|难度：0.73真题：1组卷：7
691．（2014秋•博罗县校级期末）a，b互为相反数，则下列说法正确的是（　　）A．a-b=0 B．ab＜0 C．a+b=0 D．ba=-1难度：0.73真题：1组卷：59
692．（2014秋•顺义区期末）如果一个数的倒数是-2，那么这个数的相反数是（　　）A．12B．−12C．2 D．-2难度：0.71真题：1组卷：24
693．（2013秋•高新区期末）下列说法正确的是（　　）A．任何数都不等于它的相反数B．互为相反数的两个数的立方相等C．若a＞b，则1a＞1bD．若a+b=0，则|a|=|b|难度：0.68真题：1组卷：85
694．（2014秋•平武县期末）下列说法，正确的个数有（　　）①任何数都不等于它的相反数；②互为相反数的两个数的立方相等③互为相反数的两个数的商为-1；④互为相反数的两个数的同一偶数次方相等．A．4个 B．3个 C．2个 D．1个难度：0.66真题：1组卷：52
695．（2014秋•江干区期末）-2015的相反数是（　　）A．-2015 B．2015 C．12015D．-12015难度：0.60真题：1组卷：0
696．（2014秋•荔湾区期末）a（a≠0）的相反数是（　　）A．1aB．|a| C．-a D．-1a难度：0.60真题：1组卷：3
697．（2014秋•松山区期末）-3的相反数是（　　）A．3 B．0 C．13D．-3难度：0.60真题：1组卷：3
698．（2014秋•青白江区期末）下列各数中是-5的相反数的是（　　）A．5 B．15C．-5 D．-15难度：0.60真题：1组卷：1
699．（2014秋•惠安县期中）下列各对数中互为相反数的是（　　）A．-（+3）和+（-3） B．-（-3）和+（-3） C．-（-3）和+|-3| D．+（-3）和-|-3|难度：0.83真题：28组卷：48
700．（2014秋•新泰市期中）一个数在数轴上的对应点与它的相反数在数轴上的对应点的距离是5个单位长度，那么这个数是（　　）A．5或-5 B．52或−52C．5或−52D．-5或52难度：0.63真题：12组卷：321
701．（2014秋•槐荫区期中）下列说法中错误的是（　　）A．0既不是正数，也不是负数B．0是最小的整数C．0的相反数是0D．0的绝对值是0难度：0.80真题：10组卷：16
702．（2014秋•新都区期中）如果a与b互为相反数，则下列各式不正确的是（　　）A．a+b=0 B．|a|=|b| C．a-b=0 D．a=-b难度：0.68真题：10组卷：105
703．（2014秋•苍溪县校级期中）下列各对数中，不是相反数的是（　　）A．+（-3）与-[-（-3）] B．-14与（-1）4C．-（-8）与-|-8| D．-5.2与-[+（-5.2）]难度：0.80真题：9组卷：37
704．（2014秋•石林县校级期中）下列各对数中，互为相反数的是（　　）A．+（-5.2）与-5.2 B．+（+5.2）与-5.2；C．-（-5.2）与5.2 D．5.2与+（+5.2）难度：0.67真题：8组卷：75
705．（2014秋•石林县校级期中）下列说法：①若a、b互为相反数，则a+b=0；②若a+b=0，则a、b互为相反数；③若a、b互为相反数，则ab＝−1；④若ab＝−1，则a、b互为相反数．其中正确的结论有（　　）个．A．1 B．2 C．3 D．4难度：0.67真题：7组卷：2526
706．（2014秋•通许县期中）一个数比它的相反数小，这个数是（　　）A．正数 B．负数 C．非负数 D．非正数难度：0.79真题：6组卷：19
707．（2014秋•利通区校级期中）当a、b互为相反数时，下列各式一定成立的是（　　）A．ba＝−1 B．ba＝1 C．a+b=0 D．ab＜0难度：0.83真题：5组卷：15
708．（2014秋•隆化县校级期中）下列各式中，化简正确的是（　　）A．-[+（-7）]=-7 B．+[-（+7）]=7 C．-[-（+7）]=7 D．-[-（-7）]=7难度：0.73真题：5组卷：155
709．（2014秋•雁塔区校级期中）如果两个数的和为零，那么这两个数一定（　　）A．一个是正数，一个是负数B．互为相反数C．都是负数D．都是0难度：0.84真题：4组卷：36
710．（2014秋•耒阳市校级期中）下面各对数中互为相反数的是（　　）A．2与-︳-2︳ B．-2与-︳2︳ C．︳-2︳与︳2︳ D．2与-（-2）难度：0.83真题：4组卷：13
711．（2014秋•滕州市期中）15的相反数是（　　）A．15B．-15C．-5 D．5难度：0.82真题：4组卷：6
712．（2014秋•罗平县校级期中）下图中，表示互为相反数的两个点是（　　）A．点M与点Q B．点N与点P C．点M与点P D．点N与点Q难度：0.77真题：3组卷：83
713．（2014秋•太仓市期中）-12的相反数是（　　）A．2 B．-2 C．12D．±12难度：0.77真题：3组卷：4
714．（2014秋•敦煌市校级期中）下列各对数互为相反数的是（　　）A．-（-8）与+（+8） B．-（+8）与+|-8| C．-（-8）与-（+7） D．-|-8|与+（-8）难度：0.73真题：3组卷：92
715．（2014秋•烟台期中）下面每组中的两个数互为相反数的是（　　）A．-15和5 B．-2.5和212C．8和-（-8） D．13和0.333难度：0.73真题：3组卷：12
716．（2014秋•江华县校级期中）若a、b互为相反数，则下列结论中不一定正确的是（　　）A．a+b=0 B．ab=-a2 C．ab＝−1 D．|a|=|b|难度：0.66真题：3组卷：12
717．（2014秋•化德县校级期中）|-2|的倒数的相反数是（　　）A．-2 B．-12C．2 D．12难度：0.92真题：2组卷：8
718．（2014秋•泾县校级期中）下列各对数互为相反数的是（　　）A．-（-8）与+（+8） B．-（-8）与+|-8|C．-2×2与（-2）×（-2） D．-|-8|与+（-8）难度：0.83真题：2组卷：29
719．（2014秋•万州区校级期中）有理数2的相反数是（　　）A．2 B．-2 C．12D．2或-2难度：0.82真题：2组卷：23
720．（2014秋•广水市校级期中）-0.2的相反数是（　　）A．15B．−15C．-5 D．5难度：0.82真题：2组卷：14
721．（2014秋•三台县期中）-9的相反数是（　　）A．（-3）2 B．-32 C．-33 D．（-3）3难度：0.82真题：2组卷：20
722．（2014秋•衡阳期中）相反数是它本身的数为（　　）A．正数 B．负数 C．整数 D．零难度：0.71真题：2组卷：17
723．（2014秋•常州校级期中）下列说法：①若a、b互为相反数，则a+b=0；②若a+b=0，则a、b互为相反数；③若a、b互为相反数，则ab=-1； ④若ab=-1，则a、b互为相反数．其中正确的结论有（　　）A．1个 B．2个 C．3个 D．4个难度：0.68真题：2组卷：49
724．（2014秋•腾冲县校级期中）−114的相反数是（　　）A．114B．−114C．−45D．45难度：0.82真题：1组卷：8
725．（2014秋•揭西县校级期中）相反数等于本身的数是（　　）A．1 B．0 C．1或-1 D．0或±1难度：0.82真题：1组卷：15
726．（2014秋•焦作校级期中）下列各组数中，互为相反数的是（　　）A．12与0.5 B．3与-（-3） C．52与-25 D．-2与|-2|难度：0.80真题：1组卷：23
727．（2014秋•北京校级期中）下列各组数互为相反数的是（　　）A．22与（-2）2 B．22与-22 C．-23与（-2）3 D．-（-2）3与23难度：0.80真题：1组卷：6
728．（2014秋•招远市期中）下列各组数中，互为相反数的是（　　）A．-3和13B．-（-3）和+（+3） C．+（-3）和-（+3） D．-3和-（-3）难度：0.80真题：1组卷：21
729．（2014秋•克什克腾旗期中）-2的相反数是（　　）A．.-2 B．2 C．-12D．-45难度：0.77真题：1组卷：7
730．（2014秋•栾城县校级期中）下列各组数中的两个数，是互为相反数的是（　　）A．-2和-|-2| B．-12和（-1）2 C．23和32 D．（-2）3和-23难度：0.73真题：1组卷：12
731．（2014秋•临海市校级期中）下列各数中互为相反数的是（　　）A．92与-29B．-8与|-8| C．4与14D．2与-（-2）难度：0.73真题：1组卷：14
732．（2014秋•海门市校级期中）下列各组数互为相反数的是（　　）A．（-3）2和|-3|2 B．（-3）2和32 C．-32和32 D．（-2）3和-23难度：0.73真题：1组卷：8
733．（2014秋•静宁县校级期中）下列说法中正确的是（　　）①-3和+3互为相反数；②符号不同的两个数互为相反数；③互为相反数的两个数必定一个是正数，一个是负数；④π的相反数是-3.14；⑤一个数和它的相反数不可能相等．A．3个 B．2个 C．1个 D．0个难度：0.73真题：1组卷：33
734．（2014秋•民勤县校级期中）a-b的相反数是（　　）A．-a-b B．0 C．b-a D．a+b难度：0.73真题：1组卷：18
735．（2014秋•岱岳区校级期中）一个数的相反数是这个数本身，这样的数的个数是（　　）A．0 B．1 C．2 D．无数难度：0.73真题：1组卷：20
736．（2014秋•旬阳县校级期中）以下说法中正确的是（　　）A．符号不同的数互为相反数B．除以一个数等于乘于这个数的倒数C．规定了原点、正方向和单位长度的直线叫做数轴D．一个数的绝对值越大，表示它的点在数轴上越靠右难度：0.73真题：1组卷：9
737．（2014秋•贺兰县校级期中）下列各组数中，互为相反数的是（　　）A．+（-3）和-（-3） B．-（-3）和﹢3 C．-1 和-12 D．-|-2|和-2难度：0.73真题：1组卷：12
738．（2014秋•海拉尔区校级期中）下列语句：①符号相反的两个数互为相反数； ②绝对值最小的数是0； ③任何数都有倒数；④立方等于它本身的数是0； ⑤数轴左边离原点越远的数就越小．正确的有（　　）A．0个 B．1个 C．2个 D．3个难度：0.73真题：1组卷：14
739．（2014秋•定安县期中）下列各数中互为相反数的是（　　）A．-（+3）和+（-3） B．-（-3）和-3 C．（-2）3和-23 D．-3和13难度：0.71真题：1组卷：12
740．（2014秋•西陵区校级期中）下列关于相反数的说法中，错误的是（　　）A．-2的相反数是2B．m和-m互为相反数C．和为零的两个数互为相反数D．零没有相反数难度：0.71真题：1组卷：39
741．（2014秋•潜江校级期中）下列各组数中，互为相反数的是（　　）A．12B．-2和-12C．-2和|-2| D．-2和12难度：0.71真题：1组卷：21
742．（2014秋•唐山期中）如果两个数m、n互为相反数，那么下列说法不正确的是（　　）A．m+n=0B．m、n的绝对值相等C．m、n的商为1D．数轴上，表示这两个数的点到原点的距离相等难度：0.71真题：1组卷：33
743．（2014秋•高密市期中）下列各组数中，互为相反数的是（　　）A．-3和13B．|-3|和-（-3） C．3和-3 D．13和-23难度：0.71真题：1组卷：7
744．（2014秋•利川市校级期中）下列各对数中互为相反数的有（　　）（-2）与+（-2）；+（+2）与-2；-（-2）与+（-2）；-（-3）与+（+3）；+（-3）与-（+3）A．2对 B．3对 C．4对 D．5对难度：0.68真题：1组卷：25
745．（2014秋•北京校级期中）下列四组数中，不相等的一组是（　　）A．-（+3），+（-3） B．+（-5），-5 C．+（-7），-（-7） D．-（-1），|-1|难度：0.68真题：1组卷：15
746．（2014秋•宁远县校级期中）下列各组数中，互为相反数的是（　　）A．15和5 B．-3和13C．-5和−15D．2和-2难度：0.68真题：1组卷：2
747．（2014秋•重庆校级期中）下列各对数中互为相反数的是（　　）A．−13与−(−23) B．-（+7）与+（-7） C．-（+2）与（+2.2） D．-6与-（-6）难度：0.65真题：1组卷：160
748．（2014秋•横县期中）下列说法正确的是（　　）A．有些有理数不能在数轴上表示出来B．对于两个数，较大数的相反数也较大C．互为相反数的两个数的同一偶次数幂相等D．一个数的相反数是非负数，则这个数一定是负数难度：0.60真题：1组卷：14
749．（2014秋•伍家岗区校级期中）已知a、b互为相反数，下列式子：①a+b=0； ②ab=1； ③a=-b； ④b=-a，其中成立的有（　　）个．A．1 B．2 C．3 D．4难度：0.54真题：1组卷：20
750．（2014秋•房山区校级期中）下列说法：①若a、b互为相反数，则a+b=0；②若a+b=0，则a、b互为相反数；③若a、b互为相反数，则ab=-1；④若ab=-1，则a、b互为相反数．其中正确的结论是（　　）A．①②③④ B．②③④ C．①②③ D．①②④难度：0.54真题：1组卷：40
751．（2014秋•绥阳县校级期中）对于式子-（-8），下列理解中理解错误的个数是（　　）①可表示-8的相反数；②可表示-1与-8的乘积；③可表示-8的绝对值；④运算结果等于8．A．0 B．1 C．2 D．3难度：0.54真题：1组卷：25
752．（2014秋•宁津县校级月考）在一个数前面添上“-”号后，得到一个（　　）A．负数 B．正数C．原数的相反数 D．原数的绝对值难度：0.83真题：4组卷：17
753．（2014秋•黄冈校级月考）若一个数大于它的相反数，则这个数是（　　）A．正数 B．负数 C．非负数 D．非正数难度：0.73真题：4组卷：78
754．（2014秋•岱岳区校级月考）下列各对数中，互为相反数的是（　　）A．-（-3）和+3 B．+（-5）和-（+5） C．-（-6）和+（+6） D．2和+（-2）难度：0.96真题：3组卷：26
755．（2014秋•琼海校级月考）下列选项中互为相反数的是（　　）A．-12与0.2 B．13与-0.33C．5与-（-5） D．-2.25与|−214|难度：0.73真题：3组卷：19
756．（2014秋•达川区校级月考）有这样四句话：（1）-4是相反数；（2）-4和4都是相反数；（3）-4是4的相反数，同样4也是-4的相反数；（4）-4与4互为相反数，其中说得对的是（　　）A．（1）与（2） B．（2）与（3） C．（1）与（4） D．（3）与（4）难度：0.65真题：3组卷：28
757．（2014秋•溧水县校级月考）一个数的相反数是非正数，那么这个数一定是（　　）A．负数 B．正数 C．0或正数 D．0难度：0.73真题：2组卷：59
758．（2014秋•江都区月考）下面两个数互为相反数的是（　　）A．12和0.2 B．13和0.333 C．-2.75和234D．9和-（-9）难度：0.73真题：2组卷：55
759．（2014秋•高密市校级月考）下列说法中：①π的相反数为-π；②符号相反的数为相反数；③-（-3.8）的相反数为3.8；④一个数与它的相反数不可能相等；⑤两个互为相反数的绝对值相等．正确的是（　　）A．①② B．①⑤ C．②③ D．①④难度：0.73真题：2组卷：75
760．（2014秋•大悟县校级月考）下列各组数中，互为相反数的有（　　）①2和12；②-2和12；③2.25和−214；④+（-2）和（-2）；⑤-2和-（-2）；⑥+（+5）和-（-5）A．2组 B．3组 C．4组 D．5组难度：0.82真题：1组卷：10
761．（2014秋•涿州市校级月考）下列说法中正确的是（　　）①-3和+3互为相反数；②符号不同的两个数互为相反数；③互为相反数的两个数必定一个是正数，一个是负数．A．0个 B．1个 C．2个 D．3个难度：0.82真题：1组卷：16
762．（2014秋•袁州区校级月考）-15是15的（　　）A．相反数 B．倒数 C．绝对值 D．无法确定难度：0.82真题：1组卷：6
763．（2014秋•枝江市校级月考）-3的相反数和倒数分别为（　　）A．3，3 B．3，-13C．-13，3 D．以上都不对难度：0.80真题：1组卷：13
764．（2014秋•安徽月考）下列各组数中，互为相反数的是（　　）A．2和12B．-2和-|x| C．-2和|-2| D．-2和|y|难度：0.80真题：1组卷：6
765．（2014秋•武汉月考）若a与1互为相反数，则a等于（　　）A．0 B．1 C．-1 D．2难度：0.80真题：1组卷：22
766．（2014秋•镇江校级月考）下列各数中与-13互为相反数的是（　　）A．-13B．13C．-3 D．3难度：0.80真题：1组卷：5
767．（2014秋•温州月考）相反数等于3的数是（　　）A．-3 B．+3 C．13D．-13难度：0.80真题：1组卷：15
768．（2014秋•耒阳市校级月考）下列式子中正确的是（　　）A．−(−512)＝−512B．+(−415)＝415C．-[-（-9）]=-9 D．-[-（+2）]=-2难度：0.77真题：1组卷：9
769．（2014秋•长沙校级月考）-53的相反数是（　　）A．-35B．35C．-53D．53难度：0.77真题：1组卷：5
770．（2014秋•福贡县校级月考）如果-m=2008，则m=（　　）A．-2008 B．2008C．2008或-2008 D．|-2008|难度：0.73真题：1组卷：10
771．（2014秋•肥城市校级月考）下列等式成立的是（　　）A．|a|+|-a|=0 B．-a-a=0 C．|-a|-|a|=0 D．-a-|a|=0难度：0.73真题：1组卷：22
772．（2014秋•兴化市校级月考）下列各组数中，互为相反数的是（　　）A．-2与-12B．|-2|与2 C．-π2与|−π2| D．-12与-|−12|难度：0.73真题：1组卷：21
773．（2014秋•建湖县校级月考）下列各对数：+（-3）与-3，+（-12）与+（-2），-（-14）与+（-14），-（+3）与+（-3），+3与-3中，互为相反数的有（　　）A．2对 B．3对 C．4对 D．5对难度：0.73真题：1组卷：34
774．（2014秋•于洪区校级月考）列各对数中互为相反数的是（　　）A．32与-23 B．（-3×2）2与23×（-3）C．-32与（-3）2 D．-23与（-2）3难度：0.73真题：1组卷：63
